,abb,median_days_open,month_id,state
565,CT,0,2008_12,Connecticut
567,DE,6,2008_12,Delaware
566,DC,0,2008_12,District of Columbia
568,FL,0,2008_12,Florida
569,GA,0,2008_12,Georgia
570,HI,30,2008_12,Hawaii
572,ID,0,2008_12,Idaho
573,IL,0,2008_12,Illinois
574,IN,0,2008_12,Indiana
571,IA,10,2008_12,Iowa
575,KS,0,2008_12,Kansas
576,KY,0,2008_12,Kentucky
577,LA,4,2008_12,Louisiana
580,ME,0,2008_12,Maine
579,MD,2,2008_12,Maryland
578,MA,0,2008_12,Massachusetts
581,MI,0,2008_12,Michigan
582,MN,0,2008_12,Minnesota
584,MS,33,2008_12,Mississippi
583,MO,6,2008_12,Missouri
585,MT,34,2008_12,Montana
588,NE,0,2008_12,Nebraska
592,NV,28,2008_12,Nevada
589,NH,17,2008_12,New Hampshire
590,NJ,0,2008_12,New Jersey
591,NM,5,2008_12,New Mexico
593,NY,0,2008_12,New York
586,NC,10,2008_12,North Carolina
587,ND,3,2008_12,North Dakota
594,OH,0,2008_12,Ohio
595,OK,17,2008_12,Oklahoma
596,OR,0,2008_12,Oregon
597,PA,8,2008_12,Pennsylvania
598,RI,0,2008_12,Rhode Island
599,SC,2,2008_12,South Carolina
600,SD,26,2008_12,South Dakota
601,TN,6,2008_12,Tennessee
602,TX,0,2008_12,Texas
603,UT,22,2008_12,Utah
605,VT,0,2008_12,Vermont
604,VA,0,2008_12,Virginia
606,WA,16,2008_12,Washington
608,WV,0,2008_12,West Virginia
607,WI,0,2008_12,Wisconsin
609,WY,28,2008_12,Wyoming
52,AL,18,2008_2,Alabama
51,AK,24,2008_2,Alaska
54,AZ,10,2008_2,Arizona
53,AR,17,2008_2,Arkansas
55,CA,6,2008_2,California
56,CO,15,2008_2,Colorado
57,CT,2,2008_2,Connecticut
59,DE,21,2008_2,Delaware
58,DC,0,2008_2,District of Columbia
60,FL,2,2008_2,Florida
61,GA,6,2008_2,Georgia
62,HI,4,2008_2,Hawaii
64,ID,6,2008_2,Idaho
65,IL,4,2008_2,Illinois
66,IN,20,2008_2,Indiana
63,IA,17,2008_2,Iowa
67,KS,12,2008_2,Kansas
68,KY,12,2008_2,Kentucky
69,LA,27,2008_2,Louisiana
72,ME,12,2008_2,Maine
71,MD,3,2008_2,Maryland
70,MA,75,2008_2,Massachusetts
73,MI,7,2008_2,Michigan
74,MN,20,2008_2,Minnesota
76,MS,2,2008_2,Mississippi
75,MO,17,2008_2,Missouri
77,MT,70,2008_2,Montana
80,NE,12,2008_2,Nebraska
84,NV,19,2008_2,Nevada
81,NH,0,2008_2,New Hampshire
82,NJ,3,2008_2,New Jersey
83,NM,0,2008_2,New Mexico
85,NY,2,2008_2,New York
78,NC,4,2008_2,North Carolina
79,ND,50,2008_2,North Dakota
86,OH,6,2008_2,Ohio
87,OK,27,2008_2,Oklahoma
88,OR,11,2008_2,Oregon
89,PA,9,2008_2,Pennsylvania
90,RI,45,2008_2,Rhode Island
91,SC,3,2008_2,South Carolina
92,SD,16,2008_2,South Dakota
93,TN,25,2008_2,Tennessee
94,TX,6,2008_2,Texas
95,UT,18,2008_2,Utah
97,VT,0,2008_2,Vermont
96,VA,2,2008_2,Virginia
98,WA,17,2008_2,Washington
100,WV,6,2008_2,West Virginia
99,WI,0,2008_2,Wisconsin
101,WY,24,2008_2,Wyoming
103,AL,3,2008_3,Alabama
102,AK,13,2008_3,Alaska
105,AZ,10,2008_3,Arizona
104,AR,3,2008_3,Arkansas
106,CA,6,2008_3,California
107,CO,9,2008_3,Colorado
108,CT,5,2008_3,Connecticut
110,DE,12,2008_3,Delaware
109,DC,9,2008_3,District of Columbia
111,FL,3,2008_3,Florida
112,GA,9,2008_3,Georgia
113,HI,18,2008_3,Hawaii
115,ID,89,2008_3,Idaho
116,IL,0,2008_3,Illinois
117,IN,7,2008_3,Indiana
114,IA,10,2008_3,Iowa
118,KS,6,2008_3,Kansas
119,KY,3,2008_3,Kentucky
120,LA,14,2008_3,Louisiana
